nr;RomName78;RomName;Game;Description
1;005;005;"005 (c) 1981 Sega.";
"Agent 005 brings new cash collections to you. His mission is to deliver secret attache cases to an awaiting helicopter. Through wily street chases and the shadows of warehouse darkness to slippery skating rink maneuvers and the blazing aerial getaway fight. Agent 005 steels the scene and delivers customers to you. Fun-filled music attracts them. Four thrilling escape scenes challenge them and the continuous fun keeps them playing and playing. The unique audio and video excitement matches every players skill level.

And 005 is a RasterScan Convert, a Game which can later be converted to a brand new top earning game at a substantial savings.

Put Agent 005 on your side and win the chase for higher profits. For more information on the latest in video-game action, call your nearest Sega/Gremlin distributor.

The chase is on. Agent 005 makes away with an attache case. A hovering helicopter awaits his arrival, but first... Enemy guards pound the street in pursuit. 005 must duck into a new scene.

Inside a warehouse. Avoid being caught in the guard's flashlight beams... once 005 is detected, the chase quickens to super fast. Blast the guards with stun-gas and score valuable points.

Slip into a skate rink. And slip you will. There is no stopping on ice and the same goes for the thrills. Sliding and firing... firing and sliding. 005 can call his helicopter to escape.

The final flight fight. High flying aerial excitement. 005 has reached his helicopter in all other scenes and now finds his high scoring, high soaring getaway copter in a new test balloon and parachute bombs close in from all sides. 005 blast away to score points and to escape. Then the final challenge is thrown at his skill - a blazing battle with the enemy copter. Win now and you win big.

It's free-wheeling fun with fun-filled music and sound. Its stealth and pursuit is like no other video game. Everybody's after Agent 005. You should be, too. Call your nearest Sega/Gremlin distributor today and make sure 005 is on your side."
2;1941;1941r1;"1941 - Counter Attack (c) 1990 Capcom Company, Limited.
";"Export release. Game developed in Japan. For more information about the game itself, please see the original Japanese release entry; ""1941 - Counter Attack [B-Board 89625B-1]""."
3;1941j;1941j;"1941 - Counter Attack (c) 1990 Capcom. 
";A vertically scrolling shoot'em up.
4;1942;1942a;"1942 (c) 1984 Capcom.
";"""1942"" is a vertically-scrolling shoot-em-up set in the Pacific theatre during World War II, in which the goal is to reach Tokyo and destroy the entire Japanese air fleet. 

The player pilots a plane dubbed the ""Super Ace"" (its appearance is that of a Lockheed P-38 Lightning) and has to shoot down waves of enemy planes while avoiding incoming enemy fire. The 'Super Ace' can perform a limited number of rolls or 'loop-the-loops' to evade enemy planes and shots. 

During the game, waves of red enemy planes periodically appear. If the player manages to destroy a red wave, a power-up, in the form of a 'POW' symbol, will be dropped and can be picked up. The power-up will award either increased fire-power (doubling the player's guns from two to four), a smart bomb that destroys all on-screen enemy planes the instant it's collected, two wingmen planes that flank the Super Ace and increase fire power, or simply extra points.

At the end of each stage the 'Super Ace' lands on an aircraft carrier and bonus points are awarded based on player performance. ""1942"" differs from other games in that its levels are numbered in reverse order, so the game begins at stage 32 and ends at stage 1."
5;1942a;1942b;"1942 (c) 1984 Capcom.
";"""1942"" is a vertically-scrolling shoot-em-up set in the Pacific theatre during World War II, in which the goal is to reach Tokyo and destroy the entire Japanese air fleet. 

The player pilots a plane dubbed the ""Super Ace"" (its appearance is that of a Lockheed P-38 Lightning) and has to shoot down waves of enemy planes while avoiding incoming enemy fire. The 'Super Ace' can perform a limited number of rolls or 'loop-the-loops' to evade enemy planes and shots. 

During the game, waves of red enemy planes periodically appear. If the player manages to destroy a red wave, a power-up, in the form of a 'POW' symbol, will be dropped and can be picked up. The power-up will award either increased fire-power (doubling the player's guns from two to four), a smart bomb that destroys all on-screen enemy planes the instant it's collected, two wingmen planes that flank the Super Ace and increase fire power, or simply extra points.

At the end of each stage the 'Super Ace' lands on an aircraft carrier and bonus points are awarded based on player performance. ""1942"" differs from other games in that its levels are numbered in reverse order, so the game begins at stage 32 and ends at stage 1."
6;1942b;1942;"1942 (c) 1984 Capcom.
";"""1942"" is a vertically-scrolling shoot-em-up set in the Pacific theatre during World War II, in which the goal is to reach Tokyo and destroy the entire Japanese air fleet. 

The player pilots a plane dubbed the ""Super Ace"" (its appearance is that of a Lockheed P-38 Lightning) and has to shoot down waves of enemy planes while avoiding incoming enemy fire. The 'Super Ace' can perform a limited number of rolls or 'loop-the-loops' to evade enemy planes and shots. 

During the game, waves of red enemy planes periodically appear. If the player manages to destroy a red wave, a power-up, in the form of a 'POW' symbol, will be dropped and can be picked up. The power-up will award either increased fire-power (doubling the player's guns from two to four), a smart bomb that destroys all on-screen enemy planes the instant it's collected, two wingmen planes that flank the Super Ace and increase fire power, or simply extra points.

At the end of each stage the 'Super Ace' lands on an aircraft carrier and bonus points are awarded based on player performance. ""1942"" differs from other games in that its levels are numbered in reverse order, so the game begins at stage 32 and ends at stage 1."
7;1943;1943u;"1943 - The Battle of Midway (c) 1987 Capcom USA, Incorporated.
";"North American release. Game developed in Japan by Capcom. For more information, please see the original Japanese version entry: ""1943 - Midway Kaisen""."
8;1943j;1943ja;"1943 - Midway Kaisen (c) 1987 Capcom.
";"It was 40 years ago, at the height of World War II. The Japanese main squadron tasted defeat off the coast of Midway Islands. Some say that this battle greatly changed the outcome of the war. Can you destroy the battleship, 'Yamato'? 

Relive the excitement of 1942 by controlling your P-38 equipped with six secret weapons. In addition to the now famous loop, you have at your command, lightning, cyclone, and tsunami to ward off your enemies."
9;1943kai;1943kai;"1943改 ミッドウェイ海戦 (c) 1987 Capcom.
";"(1943 Kai - Midway Kaisen)

An update of 1943 with tweaked weapons, fewer levels, and a new soundtrack."
